"SnapshotDateUTC","UserId","UserPrincipalName","DisplayName","Department","JobTitle","AccountEnabled","GroupId","GroupDisplayName"
"2026-08-23T20:40:22Z","10000000-0000-4000-8000-000000000010","jbricker@contoso.onmicrosoft.com","Jonah Bricker","Finance","Financial Analyst","True","20000000-0000-4000-8000-000000000003","DEPT-Finance"
"2026-08-23T20:40:22Z","10000000-0000-4000-8000-000000000011","lkowalski@contoso.onmicrosoft.com","Lena Kowalski","IT","Helpdesk Technician","True","20000000-0000-4000-8000-000000000007","DEPT-IT"
"2026-08-23T20:40:22Z","10000000-0000-4000-8000-000000000011","lkowalski@contoso.onmicrosoft.com","Lena Kowalski","IT","Helpdesk Technician","True","20000000-0000-4000-8000-000000000008","ROLE-IT-Helpdesk"
"2026-08-23T20:40:22Z","10000000-0000-4000-8000-000000000012","moyelaran@contoso.onmicrosoft.com","Marcus Oyelaran","IT","IT Manager","True","20000000-0000-4000-8000-000000000007","DEPT-IT"
"2026-08-23T20:40:22Z","10000000-0000-4000-8000-000000000013","mvega@contoso.onmicrosoft.com","Marisol Vega","Store Operations","Store Associate","True","20000000-0000-4000-8000-000000000001","DEPT-Store-Operations"
"2026-08-23T20:40:22Z","10000000-0000-4000-8000-000000000013","mvega@contoso.onmicrosoft.com","Marisol Vega","Store Operations","Store Associate","True","20000000-0000-4000-8000-000000000005","ROLE-Store-Associate"
"2026-08-23T20:40:22Z","10000000-0000-4000-8000-000000000014","nhassan@contoso.onmicrosoft.com","Nadia Hassan","Store Operations","Store Manager","True","20000000-0000-4000-8000-000000000001","DEPT-Store-Operations"
"2026-08-23T20:40:22Z","10000000-0000-4000-8000-000000000008","nsorensen@contoso.onmicrosoft.com","Nina Sorensen","","","True","",""
"2026-08-23T20:40:22Z","10000000-0000-4000-8000-000000000015","ofitzgerald@contoso.onmicrosoft.com","Owen Fitzgerald","IT","Systems Administrator","True","20000000-0000-4000-8000-000000000007","DEPT-IT"
"2026-08-23T20:40:22Z","10000000-0000-4000-8000-000000000015","ofitzgerald@contoso.onmicrosoft.com","Owen Fitzgerald","IT","Systems Administrator","True","20000000-0000-4000-8000-000000000008","ROLE-IT-Helpdesk"
"2026-08-23T20:40:22Z","10000000-0000-4000-8000-000000000015","ofitzgerald@contoso.onmicrosoft.com","Owen Fitzgerald","IT","Systems Administrator","True","20000000-0000-4000-8000-000000000004","ROLE-IT-SysAdmin"
"2026-08-23T20:40:22Z","10000000-0000-4000-8000-000000000016","pnkemelu@contoso.onmicrosoft.com","Peter Nkemelu","Finance","Accounts Payable Clerk","True","20000000-0000-4000-8000-000000000003","DEPT-Finance"
"2026-08-23T20:40:22Z","10000000-0000-4000-8000-000000000016","pnkemelu@contoso.onmicrosoft.com","Peter Nkemelu","Finance","Accounts Payable Clerk","True","20000000-0000-4000-8000-000000000009","ROLE-Finance-AP"
"2026-08-23T20:40:22Z","10000000-0000-4000-8000-000000000016","pnkemelu@contoso.onmicrosoft.com","Peter Nkemelu","Finance","Accounts Payable Clerk","True","20000000-0000-4000-8000-000000000010","ROLE-Finance-Controller"
"2026-08-23T20:40:22Z","10000000-0000-4000-8000-000000000017","praman@contoso.onmicrosoft.com","Priya Raman","IT","Systems Administrator","True","20000000-0000-4000-8000-000000000007","DEPT-IT"
"2026-08-23T20:40:22Z","10000000-0000-4000-8000-000000000018","rmalik@contoso.onmicrosoft.com","Rashid Malik","Store Operations","Store Associate","False","20000000-0000-4000-8000-000000000001","DEPT-Store-Operations"
"2026-08-23T20:40:22Z","10000000-0000-4000-8000-000000000018","rmalik@contoso.onmicrosoft.com","Rashid Malik","Store Operations","Store Associate","False","20000000-0000-4000-8000-000000000005","ROLE-Store-Associate"
"2026-08-23T20:40:22Z","10000000-0000-4000-8000-000000000019","smarchetti@contoso.onmicrosoft.com","Sofia Marchetti","HR","HR Coordinator","True","20000000-0000-4000-8000-000000000002","DEPT-HR"
"2026-08-23T20:40:22Z","10000000-0000-4000-8000-000000000019","smarchetti@contoso.onmicrosoft.com","Sofia Marchetti","HR","HR Coordinator","True","20000000-0000-4000-8000-000000000006","ROLE-HR-Coordinator"
"2026-08-23T20:40:22Z","10000000-0000-4000-8000-000000000020","tboyd@contoso.onmicrosoft.com","Terrence Boyd","Finance","Accounts Payable Clerk","True","20000000-0000-4000-8000-000000000003","DEPT-Finance"
"2026-08-23T20:40:22Z","10000000-0000-4000-8000-000000000020","tboyd@contoso.onmicrosoft.com","Terrence Boyd","Finance","Accounts Payable Clerk","True","20000000-0000-4000-8000-000000000009","ROLE-Finance-AP"
"2026-08-23T20:40:22Z","10000000-0000-4000-8000-000000000020","tboyd@contoso.onmicrosoft.com","Terrence Boyd","Finance","Accounts Payable Clerk","True","20000000-0000-4000-8000-000000000005","ROLE-Store-Associate"
"2026-08-23T20:40:22Z","10000000-0000-4000-8000-000000000021","tnjoku@contoso.onmicrosoft.com","Tomas Njoku","HR","HR Coordinator","True","20000000-0000-4000-8000-000000000002","DEPT-HR"
"2026-08-23T20:40:22Z","10000000-0000-4000-8000-000000000022","ytanaka@contoso.onmicrosoft.com","Yuki Tanaka","Store Operations","Shift Lead","True","20000000-0000-4000-8000-000000000001","DEPT-Store-Operations"
